Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Brassicaceae,Alliaria petiolata (M. Bieb.) Cavara & Grande*,,Forest,2,,,,,,Alliaria petiolata,(M. Bieb.) Cavara & Grande*
Brassicaceae,Arabidopsis thaliana (L.) Heynh.*,,Open,8,,,,,,Arabidopsis thaliana,(L.) Heynh.*
Brassicaceae,Arabis caucasica Willd.*,,Open,1,,,,,,Arabis caucasica,Willd.*
Brassicaceae,Arabis eschscholtziana Andrz.,,Open,23,,,,,,Arabis eschscholtziana,Andrz.
Brassicaceae,Aubrieta deltoidea (L.) DC.*,,Open,1,,,,,,Aubrieta deltoidea,(L.) DC.*
Brassicaceae,Barbarea orthoceras Ledeb.,,Open,15,,,,,,Barbarea orthoceras,Ledeb.
Brassicaceae,Barbarea vulgaris W.T. Aiton*,,Open,1,,,,,,Barbarea vulgaris,W.T. Aiton*
Brassicaceae,Brassica juncea (L.) Czern.*,,Open,4,,,,,,Brassica juncea,(L.) Czern.*
Brassicaceae,Brassica nigra (L.) W.D.J. Koch*,,Open,3,,,,,,Brassica nigra,(L.) W.D.J. Koch*
Brassicaceae,Brassica rapa L.*,,Open,4,,,,,,Brassica rapa,L.*
Brassicaceae,Cakile edentula (Bigelow) Hook.*,var. edentula,Shoreline,17,,,,,,Cakile edentula,(Bigelow) Hook.*
Brassicaceae,Cakile maritima Scop.*,ssp. maritima,Shoreline,44,,,,,,Cakile maritima,Scop.*
Brassicaceae,Camelina microcarpa Andrz. ex DC.*,,Open,1,,,,,,Camelina microcarpa,Andrz. ex DC.*
Brassicaceae,Capsella bursa-pastoris (L.) Medik.*,,Open,10,,,,,,Capsella bursa-pastoris,(L.) Medik.*
Brassicaceae,Cardamine flexuosa With.*,,Forest,6,,,,,,Cardamine flexuosa,With.*
Brassicaceae,Cardamine hirsuta L.*,,Open,66,,,,,,Cardamine hirsuta,L.*
Brassicaceae,Cardamine nuttallii Greene,,Forest,2,,,,,,Cardamine nuttallii,Greene
Brassicaceae,Cardamine occidentalis (S. Watson) Howell,,Wetland,2,,,,,,Cardamine occidentalis,(S. Watson) Howell
Brassicaceae,Cardamine oligosperma Nutt.,,Forest,50,,,,,,Cardamine oligosperma,Nutt.
Brassicaceae,Cardamine pensylvanica Muhl. ex Willd.,,Forest,4,,,,,,Cardamine pensylvanica,Muhl. ex Willd.
Brassicaceae,Draba verna L.*,,Open,30,,,,,,Draba verna,L.*
Brassicaceae,Erysimum cheiri (L.) Crantz*,,Open,1,,,,,,Erysimum cheiri,(L.) Crantz*
Brassicaceae,Hesperis matronalis L.*,,Open,2,,,,,,Hesperis matronalis,L.*
