iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,GBIF ID,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Acantholithodes hispidus,450310,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Acantholithodes,Acantholithodes hispidus,Acantholithodes hispidus,unlisted,unlisted,reported,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,hairy-spined crab
Cryptolithodes sitchensis,47395,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Cryptolithodes,Cryptolithodes sitchensis,Cryptolithodes sitchensis,unlisted,unlisted,reported,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,umbrella crab
Cryptolithodes typicus,53845,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Cryptolithodes,Cryptolithodes typicus,Cryptolithodes typicus,unlisted,unlisted,reported,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,butterfly crab
Hapalogaster mertensii,51635,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Hapalogaster,Hapalogaster mertensii,Hapalogaster mertensii,unlisted,unlisted,reported,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,hairy crab
Lopholithodes mandtii,459608,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Lopholithodes,Lopholithodes mandtii,Lopholithodes mandtii,unlisted,unlisted,confirmed,1994-02-27,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,,,http://www.inaturalist.org/observations/2763457,https://static.inaturalist.org/photos/3127728/medium.jpg?1457578159,,,Puget Sound king crab
Oedignathus inermis,194566,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Oedignathus,Oedignathus inermis,Oedignathus inermis,unlisted,unlisted,new 1978,,,,1978-03-19,Rick Harbo,,,https://www.inaturalist.org/observations/31752288,https://static.inaturalist.org/photos/49729116/original.jpg?1567114020,,,granular claw crab
Phyllolithodes papillosus,424896,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Phyllolithodes,Phyllolithodes papillosus,Phyllolithodes papillosus,unlisted,unlisted,reported,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,heart crab
Placetron wosnessenskii,459657,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Placetron,Placetron wosnessenskii,Placetron wosnessenskii,unlisted,unlisted,reported,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,scaled crab
Rhinolithodes wosnessenskii,459660,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Rhinolithodes,Rhinolithodes wosnessenskii,Rhinolithodes wosnessenskii,unlisted,unlisted,reported,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,rhinoceros crab
Munida quadrispina,334674,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Munididae,,,Munida,Munida quadrispina,Munida quadrispina,unlisted,unlisted,new 2019,,,,2019-07-05,Randi Mulder,,,https://www.inaturalist.org/observations/28244312,https://static.inaturalist.org/photos/44014860/medium.jpg?1562351914,,,squat lobster
Hyas lyratus,459591,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,,,Hyas,Hyas lyratus,Hyas lyratus,unlisted,unlisted,reported,1961-05-13,Dan Quayle,RBCM,,,982-00207-001,1898319325,,,,,Pacific lyre crab
Oregonia gracilis,84267,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,,,Oregonia,Oregonia gracilis,Oregonia gracilis,unlisted,unlisted,confirmed,1973-09-21,Andy Lamb & Donna Gibbs,PMLS,2017-05-29,Karolle Wall,,,https://www.inaturalist.org/observations/7647272,https://static.inaturalist.org/photos/10005307/medium.jpg?1503684106,,,graceful decorator crab
Elassochirus gilli,459568,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,Elassochirus gilli,Elassochirus gilli,unlisted,unlisted,reported,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,orange hermit
Elassochirus tenuimanus,459569,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,Elassochirus tenuimanus,Elassochirus tenuimanus,unlisted,unlisted,reported,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,widehand hermit
Pagurus armatus,459543,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus armatus,Pagurus armatus,unlisted,unlisted,reported,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,blackeyed hermit
Pagurus beringanus,362749,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus beringanus,Pagurus beringanus,unlisted,unlisted,confirmed,,,RBCM,2015-05-16,Peter Luckham,986-00191-005,,http://www.inaturalist.org/observations/2854421,https://static.inaturalist.org/photos/3256322/medium.jpg?1459377930,,missing RBCM metadata (this record is not in GBIF),Bering hermit
Pagurus caurinus,180026,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus caurinus,Pagurus caurinus,unlisted,unlisted,confirmed,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,2015-05-16,Peter Luckham,,,http://www.inaturalist.org/observations/2854836,https://static.inaturalist.org/photos/3256948/original.jpg?1459382325,,,Greenmark hermit
Pagurus dalli,459635,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus dalli,Pagurus dalli,unlisted,unlisted,reported,2013-01-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,whiteknee hermit
Pagurus granosimanus,127555,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus granosimanus,Pagurus granosimanus,unlisted,unlisted,confirmed,1994-10-23,Andy Lamb & Donna Gibbs,PMLS,2013-05-09,Karolle Wall,,,http://www.inaturalist.org/observations/3910074,https://static.inaturalist.org/photos/4596479/medium.jpg?1471493094,,,grainy hermit crab
Pagurus hirsutiusculus,63219,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus hirsutiusculus,Pagurus hirsutiusculus,unlisted,unlisted,confirmed,2016-01-23,Andy Lamb & Donna Gibbs,PMLS,2016-08-26,Lauren Magner & Andrew Simon,,,http://www.inaturalist.org/observations/3971319,https://static.inaturalist.org/photos/4682746/medium.jpg?1472268817,,,hairy hermit
Pagurus kennerlyi,459637,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus kennerlyi,Pagurus kennerlyi,unlisted,unlisted,reported,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,bluespine hermit
Pagurus ochotensis,202044,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus ochotensis,Pagurus ochotensis,unlisted,unlisted,confirmed,2013-10-20,Andy Lamb & Donna Gibbs,PMLS,2018-05-18,Karolle Wall,,,https://www.inaturalist.org/observations/12631603,https://static.inaturalist.org/photos/18270877/medium.jpg?1526799193,,,Alaskan hermit
Pagurus quaylei,366957,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus quaylei,Pagurus quaylei,unlisted,unlisted,reported,2008-06-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Quayle's hermit
Pagurus samuelis,49095,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus samuelis,Pagurus samuelis,unlisted,unlisted,reported,2009-03-19,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,blueband hermit
Pagurus stevensae,459640,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus stevensae,Pagurus stevensae,unlisted,unlisted,reported,2008-03-01,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Stevens' hermit
Pandalopsis lucidirimicola,459643,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalopsis,Pandalopsis lucidirimicola,Pandalopsis lucidirimicola,unlisted,unlisted,reported,1995-11-24,Daniel Kent,RBCM,,,997-00068-001,1898318861,,,,,sparkling shrimp
Pandalus borealis,437504,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus borealis,Pandalus borealis,unlisted,unlisted,reported,1956-01-29,W. Barraclough,RBCM,,,978-00057-001,1898295012,,,,,northern shrimp
Pandalus danae,154708,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus danae,Pandalus danae,unlisted,unlisted,reported,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,coonstripe shrimp
Pandalus eous,459644,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus eous,Pandalus eous,unlisted,unlisted,reported,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,spiny pink shrimp
Pandalus hypsinotus,226884,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus hypsinotus,Pandalus hypsinotus,unlisted,unlisted,new 2016,,,,2015-04-22,Karolle Wall,,,http://www.inaturalist.org/observations/3706255,https://static.inaturalist.org/photos/4303885/medium.jpg?1468968848,,,coonstriped shrimp
Pandalus platyceros,180394,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus platyceros,Pandalus platyceros,unlisted,unlisted,reported,1995-02-25,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Pacific prawn
Pandalus stenolepis,459645,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus stenolepis,Pandalus stenolepis,unlisted,unlisted,reported,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,rough patch shrimp
Lophopanopeus bellus,50818,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Xanthoidea,Panopeidae,,,Lophopanopeus,Lophopanopeus bellus,Lophopanopeus bellus,unlisted,unlisted,confirmed,2007-10-21,Andy Lamb & Donna Gibbs,PMLS,2016-04-08,Karolle Wall,,,http://www.inaturalist.org/observations/2909657,https://static.inaturalist.org/photos/3329220/medium.jpg?1460259560,,,black-clawed crab
Fabia subquadrata,117669,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pinnotheroidea,Pinnotheridae,,,Fabia,Fabia subquadrata,Fabia subquadrata,unlisted,unlisted,reported,1934-09-06,Joesphine F.L. Hart,RBCM,,,985-00143-001,1898269203,,,,,pea crab
Scyra acutifrons,47712,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Pisinae,,Scyra,Scyra acutifrons,Scyra acutifrons,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2013-10-13,Peter Luckham,,,http://www.inaturalist.org/observations/2854858,https://static.inaturalist.org/photos/3256981/medium.jpg?1459382536,,,sharpnose crab
Petrolisthes cinctipes,53620,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Porcellanidae,,,Petrolisthes,Petrolisthes cinctipes,Petrolisthes cinctipes,unlisted,unlisted,reported,2008-10-06,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,flat porcelain crab
Petrolisthes eriomerus,47803,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Porcellanidae,,,Petrolisthes,Petrolisthes eriomerus,Petrolisthes eriomerus,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2017-05-26,Kris Krüg,,,http://inaturalist.ca/observations/6371780,https://static.inaturalist.org/photos/8040295/medium.jpg?1495832540,,,flattop crab
Sergestes similis,295635,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Dendrobranchiata,Sergestoidea,Sergestidae,,,Sergestes,Sergestes similis,Sergestes similis,unlisted,unlisted,reported,1965-01-29,W. Barraclough,RBCM,,,015-00030-001,1898267324,,,,,
Eualus butleri,459508,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Eualus,Eualus butleri,Eualus butleri,unlisted,unlisted,reported,2016-01-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,sponge eualid
Heptacarpus kincaidi,459524,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus kincaidi,Heptacarpus kincaidi,unlisted,unlisted,reported,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Kincaid's shrimp
Heptacarpus stylus,458674,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus stylus,Heptacarpus stylus,unlisted,unlisted,reported,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,stiletto shrimp
Heptacarpus tenuissimus,459527,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus tenuissimus,Heptacarpus tenuissimus,unlisted,unlisted,reported,2002-03-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,slender shrimp
Heptacarpus tridens,459522,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus tridens,Heptacarpus tridens,unlisted,unlisted,reported,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,threespine shrimp
Lebbeus eludus,459480,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,Lebbeus eludus,Lebbeus eludus,unlisted,unlisted,reported,2009-05-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,elusive lebbeid
Lebbeus grandimanus,459598,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,Lebbeus grandimanus,Lebbeus grandimanus,unlisted,unlisted,reported,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,candy stripe shrimp
Lebbeus mundus,459601,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,Lebbeus mundus,Lebbeus mundus,unlisted,unlisted,reported,2008-02-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,cleaner lebbeid
Hemigrapsus nudus,48342,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,,,Hemigrapsus,Hemigrapsus nudus,Hemigrapsus nudus,unlisted,unlisted,confirmed,1948-06-05,,RBCM,2016-08-17,Rolando Lampitoc,976-01171-005,1898278739,http://www.inaturalist.org/observations/4021637,https://static.inaturalist.org/photos/4751775/medium.jpg?1472864560,,,purple shore crab
Hemigrapsus oregonensis,69170,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,,,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,unlisted,unlisted,new 2016,,,,2015-08-28,Andrew Simon,,,http://www.inaturalist.org/observations/2580697,https://static.inaturalist.org/photos/2880914/medium.JPG?1452763668,,,yellow shore crab
Euphausia,195136,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Euphausiacea,,,Euphausiidae,,,Euphausia,,Euphausia sp.,unlisted,unlisted,reported,1973-09-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,krill
Bopyroides hippolytes,873867,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Cymothoida,Bopyroidea,Bopyridae,,,Bopyroides,Bopyroides hippolytes,Bopyroides hippolytes,unlisted,unlisted,reported,2010-07-17,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,shrimp parasitic isopod
Pentidotea resecata,141842,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,,Pentidotea,Pentidotea resecata,Pentidotea resecata,unlisted,unlisted,new 2016,,,,2016-05-08,Karolle Wall,,,http://www.inaturalist.org/observations/4078193,https://static.inaturalist.org/photos/4836960/medium.jpg?1473523745,,,eelgrass isopod
Pentidotea wosnesenskii,126295,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,,Pentidotea,Pentidotea wosnesenskii,Pentidotea wosnesenskii,unlisted,unlisted,new 2017,,,,2017-04-08,Tyrel Froese,,,https://www.inaturalist.org/observations/5620541,https://static.inaturalist.org/photos/6948591/medium.jpeg?1491711405,,,rockweed isopod
Ligia occidentalis,117674,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,Ligia,Ligia occidentalis,Ligia occidentalis,unlisted,unlisted,new 2016,,,,2016-06-27,Andrew Simon,,,http://www.inaturalist.org/observations/3540153,https://static.inaturalist.org/photos/4126134/medium.JPG?1467143426,,,western sea roach
Ligia pallasii,84264,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,Ligia,Ligia pallasii,Ligia pallasii,unlisted,unlisted,new 2017,,,,2017-08-04,Tyson Ehlers,,,https://www.inaturalist.org/observations/8914894,https://static.inaturalist.org/photos/12001696/medium.jpeg?1511497443,,,common rock louse
Ligidium gracile,339104,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,Ligidium,Ligidium gracile,Ligidium gracile,unlisted,unlisted,new 2017,,,,2017-05-27,Ayla Malcolm,,,https://www.inaturalist.org/observations/6613083,https://static.inaturalist.org/photos/8441837/medium.jpg?1497493994,,,isopod
Gnorimosphaeroma oregonense,123798,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Sphaeromatidea,Sphaeromatoidea,Sphaeromatidae,,,Gnorimosphaeroma,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,unlisted,unlisted,new 2019,,,,2019-05-04,David Metzger,,,https://www.inaturalist.org/observations/24633050,https://static.inaturalist.org/photos/38088741/medium.jpg?1557101083,,,Oregon pillbug
Lepeophtheirus,329133,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Podoplea,Siphonostomatoida,,,Caligidae,,,Lepeophtheirus,,Lepeophtheirus sp.,unlisted,unlisted,reported,2008-02-03,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,parasitic copepod
Terebratalia transversa,122157,Animalia,Brachiopoda,Rhynchonelliformea,,Rhynchonellata,,,Terebratulida,,,Terebrataliidae,,,Terebratalia,Terebratalia transversa,Terebratalia transversa,unlisted,unlisted,reported,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,transverse lamp shell
Bugula californica,196131,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Bugula,Bugula californica,Bugula californica,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2017-05-26,Karolle Wall,,,https://www.inaturalist.org/observations/7674532,https://static.inaturalist.org/photos/10050677/medium.jpg?1503853386,,,spiral bryozoan
