Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Galium trifidum,L.,three-petal bedstraw,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Rubiaceae,Rubioideae,native,S4? (2007) ,confirmed,documented,4200,J.A. Wattie,UBC,UBC: V56288,"LGL Limited, Environmental Research Associates, Sidney, BC",43365,keeganjd,https://www.inaturalist.org/observations/16821695, ,77216
Galium triflorum,michx.,sweet-scented bedstraw,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Rubiaceae,Rubioideae,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,53065
Gentiana sceptrum,Griseb.,king's scepter gentian,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Gentianaceae,,native,S5 (2000),confirmed,documented,11552,Jas kap,UBC,UBC: V45174,"LGL Limited, Environmental Research Associates, Sidney, BC",43330,citizen1,https://www.inaturalist.org/observations/15731103, ,77244
Gentiana glauca ,Pallas,glaucous gentian,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Gentianaceae,,native,S5 (2019,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,144087
Vinca major,L.,greater periwinkle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Rauvolfioideae,exotic,SNA (2019),new 2017,documented,,,,,,42846,derekkillby,https://www.inaturalist.org/observations/20955245,,53326
Vinca minor,L.,lesser periwinkle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Rauvolfioideae,exotic,SNA (2001),confirmed,documented,18103,Vladimir J. Krajina,UBC,UBC: V88787,,43222,gwenlh,https://www.inaturalist.org/observations/12297450,,55844
Erodium cicutarium,(L.) L'Hér. ex Aiton,common stork's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,SNA (2000),confirmed,documented,0000-00-00,Eli Wilson ,UBC,UBC: V44910,,43330,citizen1,https://www.inaturalist.org/observations/15735864,,47687
Geranium carolinianum,L.,carolina crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,native,S5 (2015),reported,undocumented,5055,Fred Perry,UBC,UBC: V45195,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  West Vancouver near Caulfield,58917
Geranium dissectum ,L.,cut-leaved crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,SNA (2001),reported,undocumented,0000-00-00,J.K. Henry ,UBC,UBC: V17279,,,,,UBC:  Bowen Island,53075
Geranium macrorrhizum,L.,rock crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,not in CDC records,new 2019,documented,,,,,,43971,benkeen,https://www.inaturalist.org/observations/44604793,,320685
Geranium molle,L.,dove's-foot crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,SNA (2001),confirmed,documented,21358,W.M. Bird,UBC,UBC: V80102,,44303,benkeen,https://www.inaturalist.org/observations/74291814,,53076
Geranium pratense,L.,Meadow Crane's-bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,not in CDC records,new 2021,documented,,,,,,44348,eschott,https://www.inaturalist.org/observations/81660878,,55722
Geranium robertianum,L.,herb robert,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,exotic,SNA (2001),confirmed,documented,37399,Helen Kennedy,UBC,UBC: V219764,,44322,roslynmohr,https://www.inaturalist.org/observations/77677456,,55925
Ajuga reptans,L.,carpet bugle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Ajugoideae,exotic,SNA (2001),confirmed,documented,28717,John Pinder-Moss,UBC  ,UBC: V166527,,43586,benkeen,https://www.inaturalist.org/observations/24337952,,56099
Buddleja davidii,Franch.,butterfly bush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,exotic,SNA (2001)   ,confirmed,documented,42181,A. Lynn,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,,44395,roslynmohr,https://www.inaturalist.org/observations/87639042,,75916
Callitriche heterophylla var. bolanderi,Pursh (Hegelm.) Calder & Roy L. Taylor,diverse-leaved water-starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4S5 (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,60158
Callitriche heterophylla var. heterophylla,Pursh,northern water-starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S2S3 (2000),reported,undocumented,6335,John Davidson,UBC,UBC: V43619,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,75937
Callitriche palustris,L.,narrow-fruited water-starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2015),confirmed,documented,15225,John W. Eastham,UBC,UBC: V7016,"LGL Limited, Environmental Research Associates, Sidney, BC",43697,judithofsquamish,https://www.inaturalist.org/observations/31387531,iNat: needs i.d.,75937
Castilleja elmeri ,Fernald,elmer indian-paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S4 (2015) ,reported,undocumented,22512,E.B. Petersen ,UBC,UBC: V97862,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC:  Garibaldi PP Little Diamond Head. see https://www.inaturalist.org/observations/29204903 Mark Egger wrote  """"This looks like the North Cascades form of C. elmeri, which does extend into BC. Did you consider that species?"" ",147018
Castilleja hispida var. hispida,Benth. ,harsh indian-paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S4 (2015) ,confirmed,documented,17664,C.B.W. Rogers,UBC,UBC: V195761,"LGL Limited, Environmental Research Associates, Sidney, BC",42112,steveansell,https://www.inaturalist.org/observations/66762877,UBC:West Vancouver Copper Cove,234938
Castilleja miniata,Douglas ex Hook.,giant red indian paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S5 (2000) ,confirmed,documented,9712,George A. Hardy,RBCM,V008057,"LGL Limited, Environmental Research Associates, Sidney, BC",44416,ibnbattuta,https://www.inaturalist.org/observations/92109372, ,76148
Castilleja parviflora,Bong.,mountain Indian paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S5,confirmed,documented,9703,George A. Hardy,RBCM,V008109,"LGL Limited, Environmental Research Associates, Sidney, BC",43302,judithofsquamish,https://www.inaturalist.org/observations/14677376, ,117498
Castilleja parviflora albida,Bong.,small-flower indian-paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S3S4 (2016) ,reported,undocumented,26903,Vladimir J. Krajina,UBC,UBC: V151750,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Table Mt.,154246
Castilleja parviflora var. parviflora,Bong.,small-flower indian-paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S5,reported,undocumented,23640,Vladimir J. Krajina ,UBC,UBC: V108881,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Little Diamond Head,154248
Castilleja rhexiifolia ,Rydb.,rhexia-leaved indian-paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S5 (2015),reported,undocumented,23640,Vladimir J. Krajina ,UBC,UBC: V108880,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,117513
Clinopodium douglasii ,(Benth.) Kuntze,yerba buena,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,,native,S5 (2015),confirmed,documented,34113,Terry Taylor,RBCM,V182030,"LGL Limited, Environmental Research Associates, Sidney, BC",44080,steveansell,https://www.inaturalist.org/observations/66724600,RBCM:  Bowen Island,53203
Collinsia grandiflora,Lindl.,giant blue-eyed mary,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4 (2015) ,confirmed,documented,1897-06-00,Albert J. Hill ,UBC,UBC: V30388,"LGL Limited, Environmental Research Associates, Sidney, BC",44307,jbindernagel,https://www.inaturalist.org/observations/74768335, ,76409
Collinsia parviflora,Lindl.,maiden blue-eyed mary,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2015),confirmed,documented,27204,Charles E. Beil ,UBC,UBC: V176132,"LGL Limited, Environmental Research Associates, Sidney, BC",44324,ahusdon,https://www.inaturalist.org/observations/77939952, ,59013
Digitalis purpurea,L.,purple foxglove,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2019),new 2010,documented,,,,,,44367,roslynmohr,https://www.inaturalist.org/observations/83883127,,53983
Cymbalaria muralis,"G. Gaertn., B. Mey. & Scherb.",ivy-leaved toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2018,documented,,,,,,43694,benkeen,https://www.inaturalist.org/observations/31025545,,55727
Erythranthe alsinoides,(Benth.) G.L. Nesom & N.S. Fraga,wingstem monkeyflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Phrymaceae,,native,S4? (2015) ,confirmed,documented,27178,Charles E. Beil,UBC,UBC: V176113,,40692,hillanddale,https://www.inaturalist.org/observations/9551225,,771843
Erythranthe caespitosa,(Greene) G.L. Nesom,large mountain monkey-flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Phrymaceae,,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42976,sunfishmoonlight,https://www.inaturalist.org/observations/7712117,"iNat also recognizes E. tilingii, but that it doesn't grow in BC or WA. see discussion in observation: https://www.inaturalist.org/observations/31947178",474721
Erythranthe guttata,(DC.) G.L. Nesom,seep monkeyflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Phrymaceae,,native,S5 (2015) ,confirmed,documented,33015,Bev Benedict ,UBC,UBC: V207911b,"LGL Limited, Environmental Research Associates, Sidney, BC",44411,jmclatchie,https://www.inaturalist.org/observations/90078299, ,470643
Erythranthe lewisii,(Pursh) G.L. Nesom & N.S. Fraga,lewis' monkeyflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Phrymaceae,,native,S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44413,grahamsorenson,https://www.inaturalist.org/observations/90351958, ,777190
Erythranthe microphylla,(Benth.) G.L. Nesom,small-leaf monkeyflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Phrymaceae,,native,S4 (2015) ,reported,undocumented,33015,Bev Benedict ,UBC,UBC: V207911a,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Horseshoe Bay East side #99,453717
Erythranthe nasuta,(Greene) G.L. Nesom,little-yellow monkeyflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Phrymaceae,,native,S4S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,545973
Euphrasia nemorosa,(Pers.) Wallr.,common eyebright,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,exotic,not in CDC records,new 2018,documented,,,,,,43330,citizen1,https://www.inaturalist.org/observations/15731477,,118893
Galeopsis tetrahit,L.,common hemp-nettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,exotic,SNA (2001),new 2016,documented,,,,,,42551,hillanddale,https://www.inaturalist.org/observations/9531661,,55979
Glechoma hederacea,L.,ground-ivy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,exotic,SNA (2001),new 2017,documented,,,,,,43959,gwenlh,https://www.inaturalist.org/observations/45327986,,55830
Kopsiopsis hookeri,(Walp.) Govaerts,small ground-cone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S4 (2015),confirmed,documented,37047,Frank Lomer,UBC,UBC: V235042,"LGL Limited, Environmental Research Associates, Sidney, BC",41077,judithofsquamish,https://www.inaturalist.org/observations/6040661, ,77611
Lamium galeobdolon,(L.) Crantz,yellow archangel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,exotic,SNA (2007),new 2018,documented,,,,,,43951,emonty,https://www.inaturalist.org/observations/44474496,,204339
Lamium purpureum,L.,red deadnettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,exotic,SNA (2000),new 2018,documented,,,,,,44282,raduscurtescu,https://www.inaturalist.org/observations/72235280,,55851
Ligustrum vulgare,L.,common privet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Oleaceae,,exotic,SNA (2001) ,new 2018,documented,,,,,,43369,benkeen,https://www.inaturalist.org/observations/16953216,,119805
Limosella aquatica,L.,water mudwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4 (2015),new 2018,documented,,,,,,43295,judithofsquamish,https://www.inaturalist.org/observations/14398840,,59016
Linaria purpurea,(L.) Mill.,purple toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001) ,new 2018,documented,,,,,,44342,sidalcea,https://www.inaturalist.org/observations/80421931,,77778
Linaria vulgaris,Mill.,butter-and-eggs,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2016,documented,,,,,,44071,gwenlh,https://www.inaturalist.org/observations/57885728,,50790
Lycopus europaeus,L.,European Water-horehound,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,native,S5 (2019),new 2021,documented,,,,,,44437,benkeen,https://www.inaturalist.org/observations/92930111,,133036
Lycopus uniflorus,Michx.,northern bugleweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,native,S5 (2015),confirmed,documented,2015-08-00,Fred Perry,UBC,UBC: V49211,"LGL Limited, Environmental Research Associates, Sidney, BC",44413,cgbc,https://www.inaturalist.org/observations/16857648, ,77915
Melampyrum lineare var. lineare ,Desr. ,american cow-wheat,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S5 (2015),reported,undocumented,15571,John W. Eastham,UBC,UBC: V29830,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi Alpine Lodge,241667
Melissa officinalis,L.,lemon balm,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,exotic,SNA (2019),new 2019,documented,,,,,,44378,benkeen,https://www.inaturalist.org/observations/85287027,,59901
Mentha arvensis,L.,corn mint,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,native,S5 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43295,judithofsquamish,https://www.inaturalist.org/observations/14398923, ,58188
Mentha canadensis,L.,american cornmint,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,native,S5,new 2020,documented,,,,,,44026,benkeen,https://www.inaturalist.org/observations/53116685,,77991
Nothochelone nemorosa,(Dougl. ex Lindl.) Straw,woodland Beardtongue,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4S5 (2019),new 2017,documented,,,,,,44052,steveansell,https://www.inaturalist.org/observations/59542290,,78231
Nuttallanthus canadensis,(L.) D.A. Sutton,blue toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2016),reported,undocumented,28750,R.C. Summerbell ,UBC,UBC: V167630,,,,,UBC:  near Britannia Beach,59112
Origanum vulgare,L.,oregano,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,exotic,SNA (2001),new 2018,documented,,,,,,44037,benkeen,https://www.inaturalist.org/observations/54331789,,61396
Oxyria digyna ,L.,purple sweet-cicely,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Lamiales,,,Araliaceae,,native,S4 (2015),confirmed,documented,6434,J. Davidson,UBC,UBC: V35335,"LGL Limited, Environmental Research Associates, Sidney, BC",42976,sunfishmoonlight,https://www.inaturalist.org/observations/7712179,UBC:  Garibaldi PP Mimulus Cr,78288
Pedicularis bracteosa,Benth. ,towering lousewort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S5 (2000),confirmed,documented,1913-00-00,W. Taylor,UBC,UBC: V30030,,43702,lenachiasson,https://www.inaturalist.org/observations/31994709,,49646
Pedicularis racemosa ,Douglas ex Benth.,leafy lousewort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S4S5 (2015),confirmed,documented,1914-00-00,W. Taylor,UBC,UBC: V138985,"LGL Limited, Environmental Research Associates, Sidney, BC",44062,yudel,https://www.inaturalist.org/observations/84275882,UBC:  Garibaldi,78372
Penstemon davidsonii menziesii,(Keck) Cronq.,creeping beardtongue,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4 (2001),confirmed,documented,1913-00-00,W. Taylor,UBC,UBC: V30175,"LGL Limited, Environmental Research Associates, Sidney, BC",41126,judithofsquamish,https://www.inaturalist.org/observations/32714537, ,242057
Penstemon procerus ,Douglas ex Graham,tolmie's beardtongue,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2000),confirmed,documented,21391,V.C. Brink ,UBC,UBC: V120477,,40677,mzifkin,https://www.inaturalist.org/observations/68868314,UBC:  Garibaldi,78414
Penstemon procerus tolmiei  ,(Hook.) Cronquist,tolmie's beardtongue,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2000) ,reported,undocumented,15919,John Davidson,UBC,UBC: V29500,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  P. tolmiei ssp. tolmiei,153359
Penstemon serrulatus,Menzies ex Sm.,cascade beardtongue,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2019),confirmed,documented,4938,A. E. Baggs,UBC,UBC: V47118,"LGL Limited, Environmental Research Associates, Sidney, BC",42513,hillanddale,https://www.inaturalist.org/observations/9604802,,143674
Pinguicula vulgaris,L.,none,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lentibulariaceae,,native,S3S4 (2001) ,confirmed,documented,23952,B. Fraser ,UBC,UBC: V158295,,43615,judithofsquamish,https://www.inaturalist.org/observations/27473970,"UBC:  Garibaldi PP Sentinel Gl foreland, P. vulgaris macroceras iNat does not recognize ssp.",606728
Plantago elongata ,Pursh ,slender plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,58229
Plantago elongata elongata ,Pursh ,slender plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4 (2001),reported,undocumented,34113,Terry Taylor ,RBCM,V182021,,,,,RBCM:  Bowen Island,237970
Plantago lanceolata,L.,English plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2016,documented,,,,,,43980,judithofsquamish,https://www.inaturalist.org/observations/47813081,,53178
Plantago macrocarpa,Cham. & Schltdl.,Alaska plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S4 (2015) ,confirmed,documented,42520,Judith Holm,UBC,UBC: V244881,"LGL Limited, Environmental Research Associates, Sidney, BC",42144,judithofsquamish,http://www.inaturalist.org/observations/4402324, ,167006
Plantago major,L.,greater plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2016,documented,,,,,,44016,benkeen,https://www.inaturalist.org/observations/51964176,,58961
Plantago maritima,L.,seaside plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44436,chloe_and_trevor,https://www.inaturalist.org/observations/93953933, ,68543
Plantago maritima juncoides,L. (Lam.) A. Gray,seaside plantain,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5   ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42154,judithofsquamish,http://www.inaturalist.org/observations/4402796, ,67812
Prunella vulgaris,L.,common selfheal,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,exotic,SNA (Dec 2000),new 2015,documented,,,,,,44029,gwenlh,https://www.inaturalist.org/observations/70420243,,52764
Prunella vulgaris subsp lanceolata,L. (W. Bartram) Hultén,selfheal,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,60213
Prunella vulgaris subsp vulgaris,L.,common selfheal,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,exotic,SNA (2000),new 2020,documented,,,,,,44013,microbin,https://www.inaturalist.org/observations/51662280,,81287
Satureja douglasii  ,(Benth.) Brig. in Engl. & Prant.,yerba buena,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,native,S5 (2019),reported,undocumented,34113,,RBCM,V182030,,,,,RBCM:  Bowen Island,53203
Scutellaria lateriflora,L.,side-flowering skullcap,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Scutellarioideae,exotic,SNA (2019),new 2019,documented,,,,,,43694,benkeen,https://www.inaturalist.org/observations/31020809,,79017
Stachys byzantina,K. Koch,lamb's ears,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,exotic,SNA (2019),new 2019,documented,,,,,,43534,gwenlh,https://www.inaturalist.org/observations/40795478,,127480
Stachys chamissonis cooleyae,Benth. (A. Heller) G. Mulligan & D. Munro,cooley's hedge-nettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,native,S5 (2019),new 2020,documented,,,,,,44011,pswift57,https://www.inaturalist.org/observations/51545884,,52627
Utricularia gibba,L.,humped bladderwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lentibulariaceae,,native,S4 (2019),new 2019,documented,,,,,,43694,benkeen,https://www.inaturalist.org/observations/31020692,,79464
Utricularia macrorhiza,Leconte ,common bladderwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lentibulariaceae,,native,S5 (2019),new 2019,documented,,,,,,43992,benkeen,https://www.inaturalist.org/observations/49192833,,79465
Utricularia minor ,L.,lesser bladderwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lentibulariaceae,,native,S5? (2015),reported,undocumented,30165,A.A. Rose,UBC,UBC: V176400,,,,,UBC:  NW side of Squamish River Rd at Mile 15 ,79466
Verbascum blattaria,L.,moth mullein,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,exotic,SNA (2019),new 2021,documented,,,,,,44378,benkeen,https://www.inaturalist.org/observations/85283853,,59028
Verbascum phlomoides,L.,Orange Mullein,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,exotic,SNA (2019),new 2019,documented,,,,,,43688,benkeen,https://www.inaturalist.org/observations/30648666,,170140
Verbascum thapsus,L.,common mullein,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,exotic,SNA (2001) ,new 2015,documented,,,,,,43666,benkeen,https://www.inaturalist.org/observations/29203126,,59029
Veronica alpina ?,L.,alpine speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,6434,John Davidson,UBC,UBC: V29638,,,,,"UBC:  Garibaldi PP near Garibaldi Lake, however is a European sp not recorded in BC- was this V. wormskioldii?",170185
Veronica americana,Schwein ex. Benth.,american brooklime,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2000),new 2017,documented,,,,,,44416,gwenlh,https://www.inaturalist.org/observations/107684839,,57277
Veronica arvensis,L.,corn speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2019),new 2020,documented,,,,,,43931,benkeen,https://www.inaturalist.org/observations/41844743,,55748
Veronica beccabunga  ,Raf.,american speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"historical record V. beccabunga var. americana; ITIS lists no varieties/subsp, V. beccabunga var. muscosa sole variety in iNaturalist",54333
Veronica filiformis,Sm.,slender speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2018,documented,,,,,,43653,benkeen,https://www.inaturalist.org/observations/28402081,,55825
